time_sec,type,x,y
56.5,CROW,300,-50
57.0,CROW,100,-50
57.5,CROW,-50,-50
58.0,CROW,520,-50
58.5,CROW,200,-50
59.0,CROW,300,-50
59.5,CROW,100,-50
60.0,CROW,-50,-50
60.5,CROW,520,-50
61.0,CROW,200,-50
61.5,CROW,300,-50
62.0,CROW,100,-50
62.5,CROW,-50,-50
63.0,CROW,520,-50
63.5,CROW,200,-50
64.0,CROW,300,-50
64.5,CROW,100,-50
65.0,CROW,-50,-50
65.5,CROW,520,-50
66.0,CROW,200,-50
66.5,CROW,300,-50
67.0,CROW,100,-50
67.5,CROW,-50,-50
68.0,CROW,520,-50
68.5,CROW,200,-50
69.0,CROW,300,-50
69.5,CROW,100,-50
70.0,CROW,-50,-50
70.5,CROW,520,-50
71.0,CROW,200,-50
71.5,CROW,300,-50
72.0,CROW,100,-50
72.5,CROW,-50,-50
73.0,CROW,520,-50
73.5,CROW,200,-50
74.0,CROW,300,-50
74.5,CROW,100,-50
75.0,CROW,-50,-50
75.5,CROW,520,-50
76.0,CROW,200,-50
76.5,CROW,300,-50
77.0,CROW,100,-50
77.5,CROW,-50,-50
78.0,CROW,520,-50
78.5,CROW,200,-50
79.0,CROW,300,-50
79.5,CROW,100,-50
80.0,CROW,-50,-50
80.5,CROW,520,-50
81.0,CROW,200,-50
81.5,CROW,300,-50
82.0,CROW,100,-50
82.5,CROW,-50,-50
83.0,CROW,520,-50
83.5,CROW,200,-50
84.0,CROW,300,-50
84.5,CROW,100,-50
85.0,CROW,-50,-50
85.5,CROW,520,-50
86.0,CROW,200,-50
86.5,CROW,300,-50
87.0,CROW,100,-50
87.5,CROW,-50,-50
88.0,CROW,520,-50
88.5,CROW,200,-50
89.0,CROW,300,-50
89.5,CROW,100,-50
90.0,CROW,-50,-50
90.5,CROW,520,-50
91.0,CROW,200,-50
91.5,CROW,300,-50
92.0,CROW,100,-50
92.5,CROW,-50,-50
93.0,CROW,520,-50
93.5,CROW,200,-50
94.0,CROW,300,-50
94.5,CROW,100,-50
95.0,CROW,-50,-50
95.5,CROW,520,-50
96.0,CROW,200,-50
96.5,CROW,300,-50
97.0,CROW,100,-50
97.5,CROW,-50,-50
98.0,CROW,520,-50
98.5,CROW,200,-50
99.0,CROW,300,-50
99.5,CROW,100,-50
100.0,CROW,-50,-50
100.5,CROW,520,-50
101.0,CROW,200,-50
101.5,CROW,300,-50
102.0,CROW,100,-50
102.5,CROW,-50,-50
103.0,CROW,520,-50
103.5,CROW,200,-50
104.0,CROW,300,-50
104.5,CROW,100,-50
105.0,CROW,-50,-50
105.5,CROW,520,-50
106.0,CROW,200,-50
106.5,CROW,300,-50
107.0,CROW,100,-50
107.5,CROW,-50,-50
108.0,CROW,520,-50
108.5,CROW,200,-50
109.0,CROW,300,-50
109.5,CROW,100,-50
110.0,CROW,-50,-50
110.5,CROW,520,-50
111.0,CROW,200,-50
111.5,CROW,300,-50
112.0,CROW,100,-50
112.5,CROW,-50,-50
113.0,CROW,520,-50
113.5,CROW,200,-50
114.0,CROW,300,-50
114.5,CROW,100,-50
115.0,CROW,-50,-50
115.5,CROW,520,-50
116.0,CROW,200,-50
116.5,CROW,300,-50
117.0,CROW,100,-50
117.5,CROW,-50,-50
118.0,CROW,520,-50
118.5,CROW,200,-50
119.0,CROW,300,-50
119.5,CROW,100,-50
120.0,CROW,-50,-50
120.5,CROW,520,-50
121.0,CROW,200,-50
121.5,CROW,300,-50
122.0,CROW,100,-50
122.5,CROW,-50,-50
123.0,CROW,520,-50
123.5,CROW,200,-50
124.0,CROW,300,-50
124.5,CROW,100,-50
125.0,CROW,-50,-50
125.5,CROW,520,-50
126.0,CROW,200,-50
126.5,CROW,300,-50
127.0,CROW,100,-50
127.5,CROW,-50,-50
128.0,CROW,520,-50
128.5,CROW,200,-50
129.0,CROW,300,-50
129.5,CROW,100,-50
130.0,CROW,-50,-50
130.5,CROW,520,-50
131.0,CROW,200,-50
131.5,CROW,300,-50
132.0,CROW,100,-50
132.5,CROW,-50,-50
133.0,CROW,520,-50
133.5,CROW,200,-50
134.0,CROW,300,-50
134.5,CROW,100,-50
135.0,CROW,-50,-50
135.5,CROW,520,-50
136.0,CROW,200,-50
136.5,CROW,300,-50
137.0,CROW,100,-50
137.5,CROW,-50,-50
138.0,CROW,520,-50
138.5,CROW,200,-50
139.0,CROW,300,-50
139.5,CROW,100,-50
140.0,CROW,-50,-50
140.5,CROW,520,-50
141.0,CROW,200,-50
141.5,CROW,300,-50
142.0,CROW,100,-50
142.5,CROW,-50,-50
143.0,CROW,520,-50
143.5,CROW,200,-50
144.0,CROW,300,-50
144.5,CROW,100,-50
145.0,CROW,-50,-50
145.5,CROW,520,-50
146.0,CROW,200,-50
146.5,CROW,300,-50
147.0,CROW,100,-50
147.5,CROW,-50,-50
148.0,CROW,520,-50
148.5,CROW,200,-50
149.0,CROW,300,-50
149.5,CROW,100,-50
150.0,CROW,-50,-50
150.5,CROW,520,-50
151.0,CROW,200,-50
151.5,CROW,300,-50
152.0,CROW,100,-50
152.5,CROW,-50,-50
153.0,CROW,520,-50
153.5,CROW,200,-50
154.0,CROW,300,-50
154.5,CROW,100,-50
155.0,CROW,-50,-50
155.5,CROW,520,-50
156.0,CROW,200,-50
156.5,CROW,300,-50
157.0,CROW,100,-50
157.5,CROW,-50,-50
158.0,CROW,520,-50
158.5,CROW,200,-50
159.0,CROW,300,-50
159.5,CROW,100,-50
160.0,CROW,-50,-50
160.5,CROW,520,-50
161.0,CROW,200,-50
161.5,CROW,300,-50
162.0,CROW,100,-50
162.5,CROW,-50,-50
163.0,CROW,520,-50
163.5,CROW,200,-50
164.0,CROW,300,-50
164.5,CROW,100,-50
165.0,CROW,-50,-50
165.5,CROW,520,-50
166.0,CROW,200,-50
166.5,CROW,300,-50
167.0,CROW,100,-50
167.5,CROW,-50,-50
168.0,CROW,520,-50
168.5,CROW,200,-50
169.0,CROW,300,-50
169.5,CROW,100,-50
170.0,CROW,-50,-50
170.5,CROW,520,-50
171.0,CROW,200,-50
171.5,CROW,300,-50
172.0,CROW,100,-50
172.5,CROW,-50,-50
173.0,CROW,520,-50
173.5,CROW,200,-50
174.0,CROW,300,-50
174.5,CROW,100,-50
175.0,CROW,-50,-50
175.5,CROW,520,-50
176.0,CROW,200,-50
176.5,CROW,300,-50
177.0,CROW,100,-50
177.5,CROW,-50,-50
178.0,CROW,520,-50
178.5,CROW,200,-50
179.0,CROW,300,-50
179.5,CROW,100,-50
180.0,CROW,-50,-50
180.5,CROW,520,-50
181.0,CROW,200,-50
181.5,CROW,300,-50
182.0,CROW,100,-50
182.5,CROW,-50,-50
183.0,CROW,520,-50
183.5,CROW,200,-50
184.0,CROW,300,-50
184.5,CROW,100,-50
185.0,CROW,-50,-50
185.5,CROW,520,-50
186.0,CROW,200,-50
186.5,CROW,300,-50
187.0,CROW,100,-50
187.5,CROW,-50,-50
188.0,CROW,520,-50
188.5,CROW,200,-50
189.0,CROW,300,-50
189.5,CROW,100,-50
190.0,CROW,-50,-50
190.5,CROW,520,-50
191.0,CROW,200,-50
191.5,CROW,300,-50
192.0,CROW,100,-50
192.5,CROW,-50,-50
193.0,CROW,520,-50
193.5,CROW,200,-50
194.0,CROW,300,-50
194.5,CROW,100,-50
195.0,CROW,-50,-50
195.5,CROW,520,-50
196.0,CROW,200,-50
196.5,CROW,300,-50
197.0,CROW,100,-50
197.5,CROW,-50,-50
198.0,CROW,520,-50
198.5,CROW,200,-50
199.0,CROW,300,-50
199.5,CROW,100,-50
200.0,CROW,-50,-50
200.5,CROW,520,-50
201.0,CROW,200,-50
201.5,CROW,300,-50
202.0,CROW,100,-50
202.5,CROW,-50,-50
203.0,CROW,520,-50
203.5,CROW,200,-50
204.0,CROW,300,-50
204.5,CROW,100,-50
205.0,CROW,-50,-50
205.5,CROW,520,-50
206.0,CROW,200,-50
206.5,CROW,300,-50
207.0,CROW,100,-50
207.5,CROW,-50,-50
208.0,CROW,520,-50
208.5,CROW,200,-50
209.0,CROW,300,-50
209.5,CROW,100,-50
210.0,CROW,-50,-50
210.5,CROW,520,-50
211.0,CROW,200,-50
211.5,CROW,300,-50
212.0,CROW,100,-50
212.5,CROW,-50,-50
213.0,CROW,520,-50
213.5,CROW,200,-50
214.0,CROW,300,-50
214.5,CROW,100,-50
215.0,CROW,-50,-50
215.5,CROW,520,-50
216.0,CROW,200,-50
216.5,CROW,300,-50
217.0,CROW,100,-50
217.5,CROW,-50,-50
218.0,CROW,520,-50
218.5,CROW,200,-50
219.0,CROW,300,-50
219.5,CROW,100,-50
220.0,CROW,-50,-50
220.5,CROW,520,-50
221.0,CROW,200,-50
221.5,CROW,300,-50
222.0,CROW,100,-50
222.5,CROW,-50,-50
223.0,CROW,520,-50
223.5,CROW,200,-50
224.0,CROW,300,-50
224.5,CROW,100,-50
225.0,CROW,-50,-50
225.5,CROW,520,-50
226.0,CROW,200,-50
226.5,CROW,300,-50
227.0,CROW,100,-50
227.5,CROW,-50,-50
228.0,CROW,520,-50
228.5,CROW,200,-50
229.0,CROW,300,-50
229.5,CROW,100,-50
230.0,CROW,-50,-50
230.5,CROW,520,-50
231.0,CROW,200,-50
231.5,CROW,300,-50
232.0,CROW,100,-50
232.5,CROW,-50,-50
233.0,CROW,520,-50
233.5,CROW,200,-50
234.0,CROW,300,-50
234.5,CROW,100,-50
235.0,CROW,-50,-50
235.5,CROW,520,-50
236.0,CROW,200,-50
236.5,CROW,300,-50
237.0,CROW,100,-50
237.5,CROW,-50,-50
238.0,CROW,520,-50
238.5,CROW,200,-50
239.0,CROW,300,-50
239.5,CROW,100,-50
240.0,CROW,-50,-50
